GOLD,III,True,72,103,887,15,76,64,35,420,54,202,3881229517
GOLD,III,True,25,14,238,76,15,36,99,498,107,1,3881205182
GOLD,III,False,76,77,518,83,235,68,131,19,222,201,3881210002
GOLD,III,False,106,122,34,3,235,24,238,76,15,60,3880928873
GOLD,III,True,76,15,121,98,48,62,235,33,63,22,3880886551
GOLD,III,True,22,245,64,39,202,86,76,21,56,133,3879662403
GOLD,III,False,76,91,5,122,29,99,39,141,63,22,3877193006
GOLD,III,False,54,412,4,131,202,67,58,68,76,28,3877149354
GOLD,III,False,360,234,103,122,76,222,106,67,412,120,3877157029
GOLD,III,True,75,245,54,18,76,34,106,57,11,81,3877112078
GOLD,III,True,15,53,131,236,114,254,222,76,142,31,3874979991
GOLD,III,False,55,222,76,20,6,3,51,101,75,254,3874935316
GOLD,III,True,157,350,245,20,6,55,164,3,222,76,3874873235
GOLD,III,True,9,222,99,106,76,267,25,98,202,101,3874900194
GOLD,III,False,246,113,161,22,86,39,57,145,36,76,3874548284
GOLD,IV,True,150,523,89,134,203,202,76,427,92,142,3894056057
GOLD,IV,True,360,89,86,99,141,81,6,876,412,34,3881650492
GOLD,IV,True,412,236,245,92,517,25,12,23,157,360,3881537746
GOLD,IV,False,76,420,235,112,51,89,523,25,887,133,3880348428
GOLD,IV,False,62,3,887,67,6,203,117,75,112,64,3878192013
GOLD,IV,True,24,21,76,25,222,887,18,89,19,99,3878099679
GOLD,IV,True,99,131,5,21,86,89,31,427,55,69,3875270499
GOLD,IV,True,267,7,18,154,122,222,103,876,75,350,3868392518
GOLD,IV,False,55,121,3,17,122,11,350,81,54,99,3868336839
GOLD,IV,True,14,202,36,8,98,91,887,18,350,33,3868312766
GOLD,IV,False,875,133,39,11,99,74,67,120,37,75,3868265685
GOLD,IV,False,134,17,57,120,39,56,555,58,10,498,3853264421
GOLD,IV,False,120,266,412,360,517,105,6,133,89,62,3850480639
GOLD,IV,False,99,106,38,35,67,254,98,61,412,360,3850462538
GOLD,IV,False,235,526,112,131,234,98,157,53,39,76,3850398662
GOLD,IV,True,145,25,114,777,18,103,421,40,22,266,3840495930
GOLD,IV,False,121,119,267,136,6,50,145,99,41,76,3840504055
GOLD,IV,True,412,86,36,84,81,5,96,25,7,164,3830984556
GOLD,IV,False,145,412,127,56,64,92,106,234,235,202,3830026794
GOLD,IV,False,526,222,114,163,203,31,412,81,80,19,3829983099
GOLD,IV,True,77,222,122,90,412,25,21,42,54,119,3828412709
GOLD,IV,False,412,36,119,75,91,107,122,51,34,53,3828409985
GOLD,IV,True,67,246,114,203,526,106,150,238,412,202,3828335173
GOLD,IV,False,64,145,2,777,99,122,18,45,33,25,3823779003
GOLD,IV,True,6,21,86,245,16,412,234,20,145,23,3821285717
GOLD,IV,True,412,245,86,51,11,29,875,117,235,20,3821269393
