GOLD,III,True,67,234,154,105,57,147,421,235,86,523,3771777192
GOLD,III,False,17,11,79,235,145,141,111,67,157,58,3771775056
GOLD,III,True,98,223,235,99,60,86,77,360,412,134,3771762566
GOLD,III,False,80,498,104,43,54,50,117,238,84,11,3771421951
GOLD,III,True,86,67,267,245,234,157,117,99,82,56,3770594083
GOLD,III,True,55,12,234,122,360,67,202,77,38,875,3770479466
GOLD,III,True,876,266,34,498,9,122,161,11,54,202,3770356557
GOLD,III,True,61,516,102,18,235,29,360,117,122,56,3770239528
GOLD,III,False,143,75,238,145,141,555,12,77,51,31,3769884404
GOLD,III,True,74,19,126,157,63,21,13,875,350,64,3769123511
GOLD,III,True,96,111,38,98,104,350,141,3,145,106,3769038900
GOLD,III,False,145,157,161,102,45,89,62,120,101,235,3768980895
GOLD,III,False,161,157,56,81,17,91,75,876,63,67,3768912026
GOLD,III,False,31,6,99,202,55,63,234,15,518,240,3768793100
GOLD,III,False,4,35,145,89,39,59,23,267,112,360,3767391725
GOLD,III,True,21,157,89,11,106,526,238,120,82,18,3767385595
GOLD,III,False,29,127,60,86,143,427,245,63,18,114,3767322086
GOLD,III,False,58,202,141,161,84,150,268,235,25,11,3767253811
GOLD,III,True,120,82,202,526,4,59,77,21,777,518,3767153017
GOLD,III,True,106,245,22,117,86,360,31,517,68,141,3767068206
GOLD,III,False,81,58,107,154,350,3,120,50,202,420,3766762695
GOLD,III,True,235,112,86,29,56,202,32,25,17,134,3766735528
GOLD,III,False,11,67,12,19,61,18,133,875,102,238,3766555292
GOLD,III,True,145,238,31,117,234,54,77,498,1,86,3766551223
GOLD,III,True,4,236,412,41,77,164,142,360,120,12,3766518182
GOLD,III,True,78,202,1,2,35,234,89,4,82,18,3765765002
GOLD,III,True,238,67,31,120,143,141,69,102,412,236,3765636895
GOLD,III,False,518,67,54,77,53,107,147,79,112,22,3765601642
GOLD,III,False,523,75,34,235,254,23,32,74,147,202,3765452234
GOLD,III,True,235,106,18,157,9,238,234,115,777,412,3764263924
GOLD,III,True,20,202,38,40,17,21,121,7,147,86,3763937555
GOLD,III,False,157,36,89,523,30,86,21,235,1,67,3762726703
GOLD,III,False,147,61,234,82,81,236,75,16,9,55,3762712253
GOLD,IV,False,3,110,99,86,154,81,83,35,105,875,3891683033
GOLD,IV,True,157,98,20,101,202,223,35,74,40,51,3891596992
GOLD,IV,False,62,72,145,80,8,875,36,117,15,34,3891572020
GOLD,IV,False,117,8,18,517,59,202,238,17,350,72,3891487371
GOLD,IV,False,150,5,7,133,103,35,887,235,222,78,3891429227
GOLD,IV,True,59,21,127,107,875,103,150,5,18,99,3890278597
GOLD,IV,False,35,14,142,89,222,29,117,150,5,8,3890321518
GOLD,IV,False,157,59,20,101,523,875,56,360,267,55,3890208477
GOLD,IV,False,6,78,157,25,145,202,412,105,54,64,3890231187
GOLD,IV,True,555,54,21,875,32,234,235,420,103,145,3890133962
GOLD,IV,True,25,145,92,99,86,75,19,429,238,412,3889731738
GOLD,IV,False,53,126,5,234,145,55,62,77,143,202,3889605403
GOLD,IV,True,63,22,234,150,19,54,106,246,202,223,3888308717
GOLD,IV,True,350,122,38,254,81,79,19,84,25,360,3888253009
GOLD,IV,False,142,412,21,126,20,19,360,40,555,28,3888218816
GOLD,IV,True,12,222,131,126,5,420,45,202,33,516,3888194181
GOLD,IV,True,245,222,143,126,5,147,202,68,76,63,3888121603
GOLD,IV,True,18,223,5,63,101,517,114,421,157,44,3888037120
GOLD,IV,True,112,51,235,25,64,40,887,59,222,246,3888053460
GOLD,IV,True,56,26,22,497,86,3,18,19,117,106,3887989595
GOLD,IV,False,89,245,222,164,33,142,25,81,223,5,3883668948
GOLD,IV,False,157,89,145,245,54,82,5,56,119,101,3883665566
GOLD,IV,True,133,222,235,56,31,64,110,89,238,11,3883621848
GOLD,IV,False,350,29,517,59,875,777,31,102,53,360,3883605741
GOLD,IV,True,74,526,59,8,67,245,350,50,122,141,3883553380
GOLD,IV,True,164,59,245,111,81,887,117,526,18,121,3883508064
GOLD,IV,True,101,99,202,122,19,222,240,147,421,412,3883487340
GOLD,IV,True,51,777,36,86,235,145,105,44,154,57,3882714885
GOLD,IV,False,18,235,75,113,3,45,32,122,147,22,3882659587
GOLD,IV,True,145,147,20,75,117,54,40,67,42,234,3882653994
GOLD,IV,True,157,147,121,238,82,222,887,9,122,50,3881200203
GOLD,IV,True,25,518,86,106,777,89,43,222,39,245,3881035330
